C22.2.3;C;22;3;2;1;1;1200;800;600;1000;VACIO;1;3
C22.2.4;C;22;4;2;1;1;1200;800;600;1000;VACIO;1;3
C22.3.0;C;22;0;3;1;1;1200;800;1000;10000;VACIO;1;5
C22.3.1;C;22;1;3;1;1;1200;800;600;1000;VACIO;1;3
C22.3.2;C;22;2;3;1;1;1200;800;600;1000;VACIO;1;3
C22.3.3;C;22;3;3;1;1;1200;800;600;1000;VACIO;1;3
C22.3.4;C;22;4;3;1;1;1200;800;600;1000;VACIO;1;3
C23.1.0;C;23;0;1;1;1;1200;800;1000;10000;VACIO;1;5
C23.1.1;C;23;1;1;1;1;1200;800;600;1000;VACIO;1;3
C23.1.2;C;23;2;1;1;1;1200;800;600;1000;VACIO;1;3
C23.1.3;C;23;3;1;1;1;1200;800;600;1000;VACIO;1;3
C23.1.4;C;23;4;1;1;1;1200;800;600;1000;VACIO;1;3
C23.2.0;C;23;0;2;1;1;1200;800;1000;10000;VACIO;1;5
C23.2.1;C;23;1;2;1;1;1200;800;600;1000;VACIO;1;3
C23.2.2;C;23;2;2;1;1;1200;800;600;1000;VACIO;1;3
C23.2.3;C;23;3;2;1;1;1200;800;600;1000;VACIO;1;3
C23.2.4;C;23;4;2;1;1;1200;800;600;1000;VACIO;1;3
C23.3.0;C;23;0;3;1;1;1200;800;1000;10000;VACIO;1;5
C23.3.1;C;23;1;3;1;1;1200;800;600;1000;VACIO;1;3
C23.3.2;C;23;2;3;1;1;1200;800;600;1000;VACIO;1;3
C23.3.3;C;23;3;3;1;1;1200;800;600;1000;VACIO;1;3
C23.3.4;C;23;4;3;1;1;1200;800;600;1000;VACIO;1;3
C24.1.0;C;24;0;1;1;1;1200;800;1000;10000;VACIO;1;5
C24.1.1;C;24;1;1;1;1;1200;800;600;1000;VACIO;1;3
C24.1.2;C;24;2;1;1;1;1200;800;600;1000;VACIO;1;3
C24.1.3;C;24;3;1;1;1;1200;800;600;1000;VACIO;1;3
C24.1.4;C;24;4;1;1;1;1200;800;600;1000;VACIO;1;3
C24.2.0;C;24;0;2;1;1;1200;800;1000;10000;VACIO;1;5
C24.2.1;C;24;1;2;1;1;1200;800;600;1000;VACIO;1;3
C24.2.2;C;24;2;2;1;1;1200;800;600;1000;VACIO;1;3
C24.2.3;C;24;3;2;1;1;1200;800;600;1000;VACIO;1;3
C24.2.4;C;24;4;2;1;1;1200;800;600;1000;VACIO;1;3
C24.3.0;C;24;0;3;1;1;1200;800;1000;10000;VACIO;1;5
C24.3.1;C;24;1;3;1;1;1200;800;600;1000;VACIO;1;3
C24.3.2;C;24;2;3;1;1;1200;800;600;1000;VACIO;1;3
C24.3.3;C;24;3;3;1;1;1200;800;600;1000;VACIO;1;3
C24.3.4;C;24;4;3;1;1;1200;800;600;1000;VACIO;1;3
C1.1.0;C;1;0;1;1;1;1200;800;1000;10000;VACIO;1;5
C1.1.1;C;1;1;1;1;1;1200;800;600;1000;VACIO;1;3
C1.1.2;C;1;2;1;1;1;1200;800;600;1000;VACIO;1;3
C1.1.3;C;1;3;1;1;1;1200;800;600;1000;VACIO;1;3
C1.1.4;C;1;4;1;1;1;1200;800;600;1000;VACIO;1;3
C1.2.0;C;1;0;2;1;1;1200;800;1000;10000;VACIO;1;5
C1.2.1;C;1;1;2;1;1;1200;800;600;1000;VACIO;1;3
C1.2.2;C;1;2;2;1;1;1200;800;600;1000;VACIO;1;3
C1.2.3;C;1;3;2;1;1;1200;800;600;1000;VACIO;1;3
C1.2.4;C;1;4;2;1;1;1200;800;600;1000;VACIO;1;3
C1.3.0;C;1;0;3;1;1;1200;800;1000;10000;VACIO;1;5
C1.3.1;C;1;1;3;1;1;1200;800;600;1000;VACIO;1;3
C1.3.2;C;1;2;3;1;1;1200;800;600;1000;VACIO;1;3
C1.3.3;C;1;3;3;1;1;1200;800;600;1000;VACIO;1;3
C1.3.4;C;1;4;3;1;1;1200;800;600;1000;VACIO;1;3
C2.1.0;C;2;0;1;1;1;1200;800;1000;10000;VACIO;1;5
C2.1.1;C;2;1;1;1;1;1200;800;600;1000;VACIO;1;3
C2.1.2;C;2;2;1;1;1;1200;800;600;1000;VACIO;1;3
C2.1.3;C;2;3;1;1;1;1200;800;600;1000;VACIO;1;3
C2.1.4;C;2;4;1;1;1;1200;800;600;1000;VACIO;1;3
C2.2.0;C;2;0;2;1;1;1200;800;1000;10000;VACIO;1;5
C2.2.1;C;2;1;2;1;1;1200;800;600;1000;VACIO;1;3
C2.2.2;C;2;2;2;1;1;1200;800;600;1000;VACIO;1;3
C2.2.3;C;2;3;2;1;1;1200;800;600;1000;VACIO;1;3
C2.2.4;C;2;4;2;1;1;1200;800;600;1000;VACIO;1;3
C2.3.0;C;2;0;3;1;1;1200;800;1000;10000;VACIO;1;5
C2.3.1;C;2;1;3;1;1;1200;800;600;1000;VACIO;1;3
C2.3.2;C;2;2;3;1;1;1200;800;600;1000;VACIO;1;3
C2.3.3;C;2;3;3;1;1;1200;800;600;1000;VACIO;1;3
C2.3.4;C;2;4;3;1;1;1200;800;600;1000;VACIO;1;3
C3.1.0;C;3;0;1;1;1;1200;800;1000;10000;VACIO;1;5
C3.1.1;C;3;1;1;1;1;1200;800;600;1000;VACIO;1;3
C3.1.2;C;3;2;1;1;1;1200;800;600;1000;VACIO;1;3
C3.1.3;C;3;3;1;1;1;1200;800;600;1000;VACIO;1;3
C3.1.4;C;3;4;1;1;1;1200;800;600;1000;VACIO;1;3
C3.2.0;C;3;0;2;1;1;1200;800;1000;10000;VACIO;1;5
C3.2.1;C;3;1;2;1;1;1200;800;600;1000;VACIO;1;3
C3.2.2;C;3;2;2;1;1;1200;800;600;1000;VACIO;1;3
C3.2.3;C;3;3;2;1;1;1200;800;600;1000;VACIO;1;3
C3.2.4;C;3;4;2;1;1;1200;800;600;1000;VACIO;1;3
C3.3.0;C;3;0;3;1;1;1200;800;1000;10000;VACIO;1;5
