Codigo_Ubicacion;Estanteria;Modulo;Altura;Sububicacion;Activo;ID_tipo_ubica;largo_max_m;ancho_max_r;altura_max_n;peso_max_kg;Estado;Id_Almacen;Contenedores_p
A17.1.4;A;17;4;1;1;1;1200;800;600;1000;VACIO;1;3
A17.1.5;A;17;5;1;1;1;1200;800;600;1000;VACIO;1;3
A17.1.6;A;17;6;1;1;1;1200;800;600;1000;VACIO;1;3
A17.2.0;A;17;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A17.2.1;A;17;1;2;1;1;1200;800;600;1000;VACIO;1;3
A17.2.2;A;17;2;2;1;1;1200;800;600;1000;VACIO;1;3
A17.2.3;A;17;3;2;1;1;1200;800;600;1000;VACIO;1;3
A17.2.4;A;17;4;2;1;1;1200;800;600;1000;VACIO;1;3
A17.2.5;A;17;5;2;1;1;1200;800;600;1000;VACIO;1;3
A17.2.6;A;17;6;2;1;1;1200;800;600;1000;VACIO;1;3
A17.3.0;A;17;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A17.3.1;A;17;1;3;1;1;1200;800;600;1000;VACIO;1;3
A17.3.2;A;17;2;3;1;1;1200;800;600;1000;VACIO;1;3
A17.3.3;A;17;3;3;1;1;1200;800;600;1000;VACIO;1;3
A17.3.4;A;17;4;3;1;1;1200;800;600;1000;VACIO;1;3
A17.3.5;A;17;5;3;1;1;1200;800;600;1000;VACIO;1;3
A17.3.6;A;17;6;3;1;1;1200;800;600;1000;VACIO;1;3
A18.1.0;A;18;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A18.1.1;A;18;1;1;1;1;1200;800;600;1000;VACIO;1;3
