;BP 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ENERO;;FEBRERO;;MARZO;;ABRIL;;MAYO;;JUNIO;;JULIO;;AGOSTO;;SEPTIEMBRE;;OCTUBRE;;NOVIEMBRE;;DICIEMBRE;;TOTAL 2026;;;TOTAL R2025;;;2026 vs R2025;;;2026 vs R2025;;;;;FACTURACIÓN;;;;;
Factor;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;;IN;OUT;;IN;OUT;;IN;OUT;;;;2026;R2025;2026 vs R2025;;;
SDS TD;330;342;516;591;232;491;895;337;243;411;1072;601;497;1159;212;267;574;363;0;604;0;549;0;412;4571;6127;;;;;;;;;;;;;;;;;;
SDS TW;3;4;15;5;5;5;12;9;4;14;15;2;10;19;5;3;6;14;0;9;0;8;0;6;75;98;;;;;;;;;;;;;;;;;;
SDS CW;0;1;3;0;0;3;3;0;1;1;2;2;0;3;3;0;2;2;0;1;0;1;0;1;14;15;;;;;;;;;;;;;;;;;;
SDS GED;96;120;60;96;60;60;276;60;40;60;96;196;0;60;120;96;312;120;0;108;0;98;0;73;1060;1147;;;;;;;;;;;;;;;;;;
THYSSEN COMP.MECA.;40;40;40;40;30;30;25;25;15;15;10;10;0;0;0;0;0;0;0;0;0;0;0;0;160;160;;;;;;;;;;;;;;;;;;
THYSSEN DECO;40;40;40;40;30;30;25;25;15;15;10;10;0;0;0;0;0;0;0;0;0;0;0;0;160;160;;;;;;;;;;;;;;;;;;
THYSSEN EOX DECOS;79;79;87;87;96;96;79;79;83;83;96;96;100;100;48;48;92;92;92;92;87;87;61;61;1000;1000;;;;;;;;;;;;;;;;;;
THYSSEN EOX ESTR;17;17;20;20;29;29;24;24;25;25;29;29;30;30;14;14;28;28;28;28;26;26;18;18;287;287;;;;;;;;;;;;;;;;;;
THYSSEN EOX TECHOS;79;79;87;87;96;96;79;79;83;83;96;96;100;100;48;48;92;92;92;92;87;87;61;61;1000;1000;;;;;;;;;;;;;;;;;;
KONE;432;432;480;480;528;528;432;432;304;304;176;176;0;0;0;0;0;0;0;0;0;0;0;0;2352;2352;;;;;;;;;;;;;;;;;;
OTIS 2R1;43;43;49;49;62;62;37;37;37;37;51;51;48;48;19;19;52;52;47;47;45;45;34;34;523;523;;;;;;;;;;;;;;;;;;
OTIS GENESIS;220;220;279;279;280;280;225;225;227;227;224;224;321;321;112;112;386;386;377;377;359;359;268;268;3278;3278;;;;;;;;;;;;;;;;;;
POWER ELECTRONICS;686;562;562;624;593;686;686;562;718;593;655;686;655;718;343;343;624;655;562;655;624;624;437;437;7145;7145;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Días laborables año 2026;;18;;20;;22;;18;;19;;22;;23;;11;;21;;21;;20;;14;;229;;101%;entre días 2026 y 2025;;;;;;;;;;;;;;;
Semanas;;3,6;;4;;4,4;;3,6;;3,8;;4,4;;4,6;;2,2;;4,2;;4,2;;4;;2,8;;45,8;;;;;;;;;;;;;;;;;;
